gene_id,logFC_21,logCPM_21,F_21,PValue_21,FDR_21,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,logFC_8p,logCPM_8p,F_8p,PValue_8p,FDR_8p
ENSG00000170271,0.818339795,2.901253492,94.40067715,3.11E-07,3.34E-05,FAXDC2,5,154818491,154859252,-,7222,protein_coding,fatty acid hydroxylase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1334],-,1.133513198,2.998768031,21.17044692,4.56E-04,0.00803162
ENSG00000116962,0.543579669,6.805619998,92.46740274,3.49E-07,3.61E-05,NID1,1,235975830,236065162,-,5864,protein_coding,nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821],-,0.497121742,6.348247638,10.43552698,0.006475476,0.04317374
ENSG00000113580,-0.662237607,3.358123505,87.68031679,4.70E-07,4.41E-05,NR3C1,5,143277931,143435512,-,9172,protein_coding,nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978],ESR-like,-0.731090889,3.235817379,18.63672915,7.76E-04,0.010925833
ENSG00000129991,1.04767204,3.161251556,84.86513387,5.64E-07,4.98E-05,TNNI3,19,55151767,55157773,-,2034,protein_coding,"troponin I3, cardiac type [Source:HGNC Symbol;Acc:HGNC:11947]",-,1.8615268,2.479472379,32.57829691,6.46E-05,0.00276867
ENSG00000105088,0.440863785,6.797951463,83.65361771,6.11E-07,5.28E-05,OLFM2,19,9853718,9936552,-,2500,protein_coding,olfactomedin 2 [Source:HGNC Symbol;Acc:HGNC:17189],-,0.480194509,6.568541728,16.68193672,0.00120668,0.014304
ENSG00000015413,1.269425319,1.475034889,82.20534046,6.73E-07,5.73E-05,DPEP1,16,89613308,89638456,+,2737,protein_coding,dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002],-,1.208316181,2.099027425,12.99911716,0.003043437,0.02634073
ENSG00000171680,0.512861645,5.144732344,80.45995973,7.58E-07,6.31E-05,PLEKHG5,1,6466092,6520061,-,7053,protein_coding,pleckstrin homology and RhoGEF domain containing G5 [Source:HGNC Symbol;Acc:HGNC:29105],-,0.448570065,4.821441497,14.69236513,0.001955932,0.019798276
ENSG00000205464,1.11680105,1.723903634,80.39132058,7.62E-07,6.31E-05,ATP6AP1L,5,82279462,82386977,+,7229,protein_coding,ATPase H+ transporting accessory protein 1 like [Source:HGNC Symbol;Acc:HGNC:28091],-,0.906540411,1.739842264,12.80706198,0.003209995,0.02747387
ENSG00000011201,-0.56628834,6.896266623,79.46627841,8.12E-07,6.64E-05,ANOS1,X,8528874,8732186,-,7131,protein_coding,anosmin 1 [Source:HGNC Symbol;Acc:HGNC:6211],-,-1.221147487,7.195785499,79.67254099,5.56E-07,1.95E-04
ENSG00000169856,1.009688367,2.169960057,78.45826617,8.71E-07,6.92E-05,ONECUT1,15,52756989,52791078,-,3850,protein_coding,one cut homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8138],CUT,1.042448261,1.633876899,16.48884097,0.001274034,0.014656508
ENSG00000100106,0.482062678,5.468341149,77.98360179,9.01E-07,7.06E-05,TRIOBP,22,37696988,37776556,+,12254,protein_coding,TRIO and F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:17009],-,0.445073406,5.553572873,15.47171861,0.001611831,0.017263099
ENSG00000095932,1.40461663,1.048535344,77.33723634,9.44E-07,7.25E-05,SMIM24,19,3473986,3480542,-,1498,protein_coding,small integral membrane protein 24 [Source:HGNC Symbol;Acc:HGNC:37244],-,1.801346124,2.849144322,32.92390002,6.38E-05,0.002743278
ENSG00000106665,0.502607898,6.53463241,76.36803883,1.01E-06,7.66E-05,CLIP2,7,74289475,74405943,+,7315,protein_coding,CAP-Gly domain containing linker protein 2 [Source:HGNC Symbol;Acc:HGNC:2586],-,0.439336465,6.162205549,10.75717402,0.005739773,0.039948173
ENSG00000130270,0.742120443,3.50265491,70.09113482,1.62E-06,1.10E-04,ATP8B3,19,1782075,1812276,-,7014,protein_coding,ATPase phospholipid transporting 8B3 [Source:HGNC Symbol;Acc:HGNC:13535],-,1.163173642,3.718256287,10.66186072,0.006743949,0.044352113
ENSG00000153902,1.000153243,1.929606273,62.9704632,2.88E-06,1.63E-04,LGI4,19,35124513,35142451,-,4532,protein_coding,leucine rich repeat LGI family member 4 [Source:HGNC Symbol;Acc:HGNC:18712],-,1.52014026,1.333970901,34.71532827,4.66E-05,0.00230058
ENSG00000123136,-0.401681965,6.399650441,62.86189538,2.90E-06,1.64E-04,DDX39A,19,14408819,14419383,-,3840,protein_coding,DExD-box helicase 39A [Source:HGNC Symbol;Acc:HGNC:17821],-,-0.638546743,6.923058223,29.71962959,9.83E-05,0.003531351
ENSG00000266714,0.79774866,3.083155581,61.60611492,3.23E-06,1.77E-04,MYO15B,17,75588058,75626501,+,12761,protein_coding,myosin XVB [Source:HGNC Symbol;Acc:HGNC:14083],-,0.779749683,2.768194351,23.81661321,2.73E-04,0.00599527
ENSG00000112343,0.711685513,2.335245908,60.70030514,3.50E-06,1.88E-04,TRIM38,6,25962802,25991226,+,9413,protein_coding,tripartite motif containing 38 [Source:HGNC Symbol;Acc:HGNC:10059],-,1.420829089,1.473437628,27.90244709,1.33E-04,0.004091866
ENSG00000213341,-0.445315377,5.12479962,58.36528846,4.31E-06,2.17E-04,CHUK,10,100188298,100229619,-,6928,protein_coding,conserved helix-loop-helix ubiquitous kinase [Source:HGNC Symbol;Acc:HGNC:1974],-,-0.437063881,5.143753347,18.98002922,7.20E-04,0.010416916
ENSG00000109832,0.417051966,4.735442499,58.28447929,4.34E-06,2.18E-04,DDX25,11,125903348,125943702,+,11167,protein_coding,DEAD-box helicase 25 [Source:HGNC Symbol;Acc:HGNC:18698],-,0.569893967,4.88638026,27.20700666,1.49E-04,0.004340542
ENSG00000135655,-0.390754197,5.313851658,57.57850877,4.63E-06,2.26E-04,USP15,12,62260338,62417431,+,19418,protein_coding,ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613],-,-0.572693538,5.625394432,50.06432422,6.92E-06,7.25E-04
ENSG00000115419,-0.385129074,6.079636715,56.53298433,5.10E-06,2.45E-04,GLS,2,190880827,190965552,+,9827,protein_coding,glutaminase [Source:HGNC Symbol;Acc:HGNC:4331],-,-0.585197807,6.31315477,16.70458668,0.001212892,0.014322611
ENSG00000137776,-0.387156315,7.448543642,55.54815307,5.59E-06,2.59E-04,SLTM,15,58879045,58933653,-,8157,protein_coding,SAFB like transcription modulator [Source:HGNC Symbol;Acc:HGNC:20709],-,-0.394288964,7.659602474,15.83014937,0.001477389,0.016296586
ENSG00000111331,0.823159932,1.712343132,55.50473163,5.61E-06,2.60E-04,OAS3,12,112938352,112973249,+,8251,protein_coding,2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088],-,1.176884144,1.388734184,16.30900684,0.001322122,0.015091833
ENSG00000186439,0.71625753,2.815808679,55.45795048,5.64E-06,2.60E-04,TRDN,6,123216339,123637093,-,6700,protein_coding,triadin [Source:HGNC Symbol;Acc:HGNC:12261],-,1.008529516,1.360563613,18.51775345,8.09E-04,0.011246997
ENSG00000072201,0.550510987,3.372178106,54.53281695,6.16E-06,2.77E-04,LNX1,4,53459301,53701405,-,5725,protein_coding,ligand of numb-protein X 1 [Source:HGNC Symbol;Acc:HGNC:6657],-,0.62851881,3.067222761,16.83497286,0.001164648,0.013998562
ENSG00000139178,0.486433889,3.800933272,54.46962837,6.19E-06,2.78E-04,C1RL,12,7089587,7109273,-,5014,protein_coding,complement C1r subcomponent like [Source:HGNC Symbol;Acc:HGNC:21265],-,0.77139106,3.810021097,12.06112053,0.003936983,0.031082778
ENSG00000088882,0.424867437,5.438627494,53.65503283,6.70E-06,2.93E-04,CPXM1,20,2794069,2800637,-,2391,protein_coding,"carboxypeptidase X, M14 family member 1 [Source:HGNC Symbol;Acc:HGNC:15771]",-,0.459899455,5.485531446,17.74884678,9.44E-04,0.012348718
ENSG00000145604,-0.411354069,6.725036821,53.03497879,7.12E-06,3.06E-04,SKP2,5,36151989,36184319,+,3837,protein_coding,S-phase kinase associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10901],-,-0.304721178,6.473872988,19.82516938,6.01E-04,0.00937905
ENSG00000165507,1.259599979,0.619199671,51.41730173,8.36E-06,3.39E-04,DEPP1,10,44970981,44978810,-,2979,protein_coding,"DEPP1, autophagy regulator [Source:HGNC Symbol;Acc:HGNC:23355]",-,1.278278211,0.982444586,10.73772593,0.005845031,0.040489672
ENSG00000130528,1.337413587,1.922998099,55.67590253,9.09E-06,3.60E-04,HRC,19,49151198,49155424,-,2685,protein_coding,histidine rich calcium binding protein [Source:HGNC Symbol;Acc:HGNC:5178],-,1.529314373,2.352916793,27.89418746,1.34E-04,0.004094761
ENSG00000189195,0.650312546,2.332385217,50.03121563,9.62E-06,3.73E-04,BTBD8,1,92080305,92184725,+,6887,protein_coding,BTB domain containing 8 [Source:HGNC Symbol;Acc:HGNC:21019],-,0.858912443,2.255381273,19.26552901,6.78E-04,0.010096389
ENSG00000163430,0.325433652,9.296652623,49.72305452,9.93E-06,3.81E-04,FSTL1,3,120392293,120451253,-,8727,protein_coding,follistatin like 1 [Source:HGNC Symbol;Acc:HGNC:3972],-,0.301692062,8.779688222,18.83768403,7.42E-04,0.01062789
ENSG00000046653,-0.350083966,7.078465205,49.54870568,1.01E-05,3.82E-04,GPM6B,X,13771031,13938638,-,5675,protein_coding,glycoprotein M6B [Source:HGNC Symbol;Acc:HGNC:4461],-,-0.981730702,7.747903073,231.6767935,7.28E-10,2.68E-06
ENSG00000144136,-0.370882542,7.068759711,49.16515164,1.05E-05,3.92E-04,SLC20A1,2,112645857,112663827,+,5577,protein_coding,solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946],-,-0.574526737,7.225671548,18.03888752,9.06E-04,0.012097528
ENSG00000173227,0.8255897,2.568002353,49.1443057,1.05E-05,3.92E-04,SYT12,11,67006778,67050863,+,10830,protein_coding,synaptotagmin 12 [Source:HGNC Symbol;Acc:HGNC:18381],-,0.810018162,3.059971612,11.47455974,0.004652928,0.03472742
ENSG00000076003,-0.335944984,8.155092548,48.83177178,1.09E-05,3.98E-04,MCM6,2,135839626,135876426,-,4118,protein_coding,minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949],-,-0.656653917,8.497295911,16.8841792,0.001328591,0.01513055
ENSG00000090006,0.374983444,5.913767831,48.48207641,1.13E-05,4.08E-04,LTBP4,19,40592883,40629818,+,8108,protein_coding,latent transforming growth factor beta binding protein 4 [Source:HGNC Symbol;Acc:HGNC:6717],-,0.673561561,5.771750382,22.46048366,3.53E-04,0.006943274
ENSG00000167972,0.421374116,4.799155967,48.20477693,1.16E-05,4.18E-04,ABCA3,16,2275881,2340746,-,7804,protein_coding,ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33],-,0.642089055,4.354341588,13.51582016,0.002649402,0.024015596
ENSG00000134954,-0.431743862,6.120096048,48.16562514,1.17E-05,4.19E-04,ETS1,11,128458761,128587558,-,7149,protein_coding,"ETS proto-oncogene 1, transcription factor [Source:HGNC Symbol;Acc:HGNC:3488]",ETS,-0.564422138,6.11203108,9.815601456,0.007998566,0.049356844
ENSG00000163704,0.50515556,3.244303663,48.11536321,1.18E-05,4.21E-04,PRRT3,3,9945542,9952394,-,3939,protein_coding,proline rich transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:26591],-,1.09509193,2.927957753,17.38397811,0.001026325,0.013012769
ENSG00000140688,0.603483878,4.243765698,47.50435145,1.25E-05,4.40E-04,C16orf58,16,31489471,31509309,-,3630,protein_coding,chromosome 16 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:25848],-,0.529488956,4.024630593,10.78731554,0.005688855,0.039767061
ENSG00000101493,0.488813581,4.323400583,47.36641967,1.27E-05,4.44E-04,ZNF516,18,76358190,76495190,-,8217,protein_coding,zinc finger protein 516 [Source:HGNC Symbol;Acc:HGNC:28990],zf-C2H2,0.937747732,4.281992991,16.39110883,0.001354982,0.015347664
ENSG00000172318,-0.530667394,5.380974139,47.09354765,1.31E-05,4.54E-04,B3GALT1,2,167868948,167874041,+,5094,protein_coding,"beta-1,3-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:916]",-,-0.596114128,4.993797263,24.09880867,2.59E-04,0.005905196
ENSG00000072274,-0.354634902,8.109589913,47.00636841,1.32E-05,4.58E-04,TFRC,3,196027183,196082189,-,7887,protein_coding,transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763],-,-1.175473343,8.016599545,55.65560568,5.55E-06,6.30E-04
ENSG00000197461,0.482781923,4.758759016,46.75907447,1.36E-05,4.65E-04,PDGFA,7,497258,520296,-,4151,protein_coding,platelet derived growth factor subunit A [Source:HGNC Symbol;Acc:HGNC:8799],-,1.875739727,4.855376871,45.9848396,1.49E-05,0.001139892
ENSG00000136367,0.4535603,4.54373855,46.61498262,1.38E-05,4.71E-04,ZFHX2,14,23520855,23556192,-,10128,protein_coding,zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:20152],Homeobox,0.762432614,4.394009551,13.52578973,0.002642431,0.023996917
ENSG00000101336,1.15726334,1.2163894,46.131659,1.46E-05,4.89E-04,HCK,20,32052188,32101856,+,3092,protein_coding,"HCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4840]",-,1.735445876,1.648860754,60.62532046,2.54E-06,4.41E-04
ENSG00000006756,0.694579597,2.222634113,45.54376993,1.55E-05,5.15E-04,ARSD,X,2903970,2929351,-,7030,protein_coding,arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717],-,1.232222541,2.518411402,21.95211098,3.90E-04,0.007395434
ENSG00000121898,0.39675982,4.703636345,44.92725643,1.66E-05,5.44E-04,CPXM2,10,123706207,123940267,-,4859,protein_coding,"carboxypeptidase X, M14 family member 2 [Source:HGNC Symbol;Acc:HGNC:26977]",-,0.884640903,3.691533074,18.23136696,8.48E-04,0.011634111
ENSG00000172803,0.808404885,1.407263996,44.80312882,1.69E-05,5.49E-04,SNX32,11,65833641,65856896,+,3966,protein_coding,sorting nexin 32 [Source:HGNC Symbol;Acc:HGNC:26423],-,1.165394192,1.205484426,14.55770528,0.002034152,0.020338766
ENSG00000100060,0.858674642,1.638232129,43.98319847,1.85E-05,5.87E-04,MFNG,22,37469063,37486401,-,3042,protein_coding,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7038],-,1.265326623,1.841984941,29.66792032,9.96E-05,0.003547594
ENSG00000102001,1.209509216,1.04572777,43.29001075,2.00E-05,6.15E-04,CACNA1F,X,49205063,49233371,-,6928,protein_coding,calcium voltage-gated channel subunit alpha1 F [Source:HGNC Symbol;Acc:HGNC:1393],-,1.047408303,1.448730368,14.31804573,0.002167787,0.021186566
ENSG00000162039,0.834369509,2.393085905,43.10473639,2.05E-05,6.23E-04,MEIOB,16,1833987,1884294,-,2303,protein_coding,meiosis specific with OB domains [Source:HGNC Symbol;Acc:HGNC:28569],-,1.823337508,0.9802663,15.75002611,0.001551371,0.01687466
ENSG00000171793,-0.317411215,6.720871782,43.07028464,2.06E-05,6.23E-04,CTPS1,1,40979335,41012565,+,11517,protein_coding,CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519],-,-0.487626778,7.205665717,17.74978286,9.44E-04,0.012348718
ENSG00000215788,0.606161076,2.888019494,43.02527811,2.07E-05,6.24E-04,TNFRSF25,1,6460786,6466195,-,4283,protein_coding,TNF receptor superfamily member 25 [Source:HGNC Symbol;Acc:HGNC:11910],-,0.504305027,2.529363638,11.26697234,0.00494125,0.036129676
ENSG00000205336,0.916446815,1.390740379,43.00006872,2.07E-05,6.25E-04,ADGRG1,16,57610652,57665580,+,8659,protein_coding,adhesion G protein-coupled receptor G1 [Source:HGNC Symbol;Acc:HGNC:4512],-,1.437422213,1.732644718,17.01211985,0.001119899,0.013706449
ENSG00000162552,1.175300661,0.915721589,42.90609624,2.10E-05,6.27E-04,WNT4,1,22117305,22143969,-,4527,protein_coding,Wnt family member 4 [Source:HGNC Symbol;Acc:HGNC:12783],-,1.120925518,1.362923938,10.23972737,0.006747089,0.044352113
ENSG00000124092,1.01544087,1.215758051,41.83106882,2.38E-05,6.88E-04,CTCFL,20,57495966,57525652,-,8928,protein_coding,CCCTC-binding factor like [Source:HGNC Symbol;Acc:HGNC:16234],zf-C2H2,2.894793891,2.563487064,71.70985306,1.01E-06,2.79E-04
ENSG00000173848,-0.306674276,7.14152772,41.79478658,2.39E-05,6.89E-04,NET1,10,5412551,5458463,+,4175,protein_coding,neuroepithelial cell transforming 1 [Source:HGNC Symbol;Acc:HGNC:14592],-,-0.301361164,7.409630203,17.65454173,9.65E-04,0.012492419
ENSG00000100297,-0.313747813,8.012620304,41.65028888,2.43E-05,6.99E-04,MCM5,22,35400063,35425430,+,7338,protein_coding,minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948],-,-0.492910312,8.553558775,22.93594832,3.22E-04,0.006558484
ENSG00000105270,0.341761559,5.50100529,41.11620789,2.59E-05,7.25E-04,CLIP3,19,36014660,36033343,-,3772,protein_coding,CAP-Gly domain containing linker protein 3 [Source:HGNC Symbol;Acc:HGNC:24314],-,0.804937396,5.434733984,22.19943096,3.83E-04,0.007320315
ENSG00000124942,0.840481885,4.228589926,51.71932269,2.86E-05,7.73E-04,AHNAK,11,62433542,62556235,-,19465,protein_coding,AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347],-,0.990465998,4.324443299,12.22133465,0.00412385,0.032128123
ENSG00000030066,-0.278062886,7.819677464,40.06978573,2.94E-05,7.82E-04,NUP160,11,47778087,47848555,-,8576,protein_coding,nucleoporin 160 [Source:HGNC Symbol;Acc:HGNC:18017],-,-0.347275936,7.878658281,31.84334804,7.06E-05,0.002940025
ENSG00000172380,-0.326571482,6.003367319,40.06804332,2.94E-05,7.82E-04,GNG12,1,67701466,67833467,-,4724,protein_coding,G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663],-,-0.397856827,5.13195582,21.28805566,4.45E-04,0.007991832
ENSG00000172828,0.914405862,1.343869179,39.8943019,3.00E-05,7.93E-04,CES3,16,66961237,66975148,+,4935,protein_coding,carboxylesterase 3 [Source:HGNC Symbol;Acc:HGNC:1865],-,1.110177723,1.138487957,17.57221055,9.90E-04,0.012694492
ENSG00000026025,-0.356355916,6.393836994,39.67454492,3.09E-05,8.10E-04,VIM,10,17228259,17237593,+,5158,protein_coding,vimentin [Source:HGNC Symbol;Acc:HGNC:12692],-,-0.560177565,7.461575739,10.49371086,0.006764511,0.044404123
ENSG00000143815,-0.305291044,7.19075215,39.42228659,3.18E-05,8.24E-04,LBR,1,225401502,225428925,-,5257,protein_coding,lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518],-,-0.35517871,7.464965476,18.65725418,7.72E-04,0.01089544
ENSG00000122254,-0.652473692,1.853796051,39.15978567,3.29E-05,8.43E-04,HS3ST2,16,22814177,22916338,+,2605,protein_coding,heparan sulfate-glucosamine 3-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:5195],-,-1.387499454,2.044232353,12.71285257,0.003289213,0.02779903
ENSG00000005059,-0.461435547,4.289893783,38.92173596,3.39E-05,8.61E-04,MCUB,4,109560205,109688726,+,3566,protein_coding,mitochondrial calcium uniporter dominant negative beta subunit [Source:HGNC Symbol;Acc:HGNC:26076],-,-0.842583062,4.414105849,15.65191,0.001565319,0.016937143
ENSG00000153404,0.298082939,6.398111229,38.90042244,3.40E-05,8.61E-04,PLEKHG4B,5,92151,189972,+,13304,protein_coding,pleckstrin homology and RhoGEF domain containing G4B [Source:HGNC Symbol;Acc:HGNC:29399],-,0.557978849,6.008496466,28.79854846,1.14E-04,0.003754899
ENSG00000126561,0.451537057,3.433613594,38.89349508,3.40E-05,8.61E-04,STAT5A,17,42287547,42311943,+,5754,protein_coding,signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366],STAT,0.96165681,3.060053474,33.84816611,5.24E-05,0.002485243
ENSG00000135842,-0.403399341,4.80993244,38.63744604,3.51E-05,8.78E-04,FAM129A,1,184790724,184974550,-,8372,protein_coding,family with sequence similarity 129 member A [Source:HGNC Symbol;Acc:HGNC:16784],-,-0.599558027,5.371209047,29.70411809,9.86E-05,0.003531351
ENSG00000179041,-0.320474914,5.330240167,38.6195639,3.52E-05,8.78E-04,RRS1,8,66429028,66430733,+,1706,protein_coding,ribosome biogenesis regulator homolog [Source:HGNC Symbol;Acc:HGNC:17083],-,-0.773377457,5.54004192,20.40173004,5.46E-04,0.008816352
ENSG00000125835,-0.316259837,8.175061845,38.52356484,3.56E-05,8.81E-04,SNRPB,20,2461634,2470853,-,1278,protein_coding,small nuclear ribonucleoprotein polypeptides B and B1 [Source:HGNC Symbol;Acc:HGNC:11153],-,-0.384454227,7.849257251,28.05363053,1.29E-04,0.004016868
ENSG00000248746,0.411295602,5.653005433,38.4965423,3.58E-05,8.81E-04,ACTN3,11,66546395,66563329,+,3517,protein_coding,actinin alpha 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:165],-,0.665454633,5.115318236,18.67793632,7.69E-04,0.010857491
ENSG00000120694,-0.292551828,7.207628542,38.47961006,3.58E-05,8.81E-04,HSPH1,13,31134974,31162388,-,8390,protein_coding,heat shock protein family H (Hsp110) member 1 [Source:HGNC Symbol;Acc:HGNC:16969],-,-0.478439524,7.720569999,14.37165883,0.002154126,0.021129454
ENSG00000142002,-0.404426858,5.153095439,38.32303564,3.66E-05,8.95E-04,DPP9,19,4675224,4724673,-,8324,protein_coding,dipeptidyl peptidase 9 [Source:HGNC Symbol;Acc:HGNC:18648],-,-0.562360775,5.745707497,17.13172389,0.001087056,0.013438312
ENSG00000007402,0.373165678,5.383140742,38.06214372,3.78E-05,9.14E-04,CACNA2D2,3,50362799,50504244,-,6322,protein_coding,calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400],-,1.076650719,4.88318815,20.07050271,6.61E-04,0.009935017
ENSG00000196177,0.348510572,4.927596115,37.97936821,3.82E-05,9.15E-04,ACADSB,10,123008979,123058311,+,6255,protein_coding,acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91],-,1.035366185,4.44040068,18.448176,8.66E-04,0.011764972
ENSG00000125414,-0.523412591,3.032571444,37.97468439,3.82E-05,9.15E-04,MYH2,17,10521148,10549957,-,6623,protein_coding,myosin heavy chain 2 [Source:HGNC Symbol;Acc:HGNC:7572],-,-1.038335048,1.740686449,12.4573044,0.003528967,0.028978396
ENSG00000177873,0.658558578,2.184624623,37.82056113,3.90E-05,9.25E-04,ZNF619,3,40477113,40490236,+,4514,protein_coding,zinc finger protein 619 [Source:HGNC Symbol;Acc:HGNC:26910],zf-C2H2,0.534508122,3.681401468,16.67956395,0.001207518,0.014304
ENSG00000135736,0.521809198,2.623541412,37.43422365,4.10E-05,9.56E-04,CCDC102A,16,57512178,57536599,-,2582,protein_coding,coiled-coil domain containing 102A [Source:HGNC Symbol;Acc:HGNC:28097],-,0.561731605,2.714815385,10.53081872,0.006143778,0.041812845
ENSG00000065150,-0.287376961,9.879473353,37.19903119,4.22E-05,9.74E-04,IPO5,13,97953658,98024297,+,9671,protein_coding,importin 5 [Source:HGNC Symbol;Acc:HGNC:6402],-,-0.26010499,9.806576872,28.41674493,1.22E-04,0.003867162
ENSG00000126583,0.415685106,4.378144805,37.16495551,4.24E-05,9.74E-04,PRKCG,19,53879190,53907652,+,3381,protein_coding,protein kinase C gamma [Source:HGNC Symbol;Acc:HGNC:9402],-,0.679928272,3.971062762,13.82297522,0.002444283,0.022772134
ENSG00000058668,0.349442298,6.04385757,37.05156039,4.30E-05,9.80E-04,ATP2B4,1,203626561,203744081,+,9721,protein_coding,ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817],-,0.762231599,5.898226878,16.05964829,0.001553823,0.01687466
ENSG00000083444,0.343787596,6.374831704,37.03847537,4.31E-05,9.80E-04,PLOD1,1,11934205,11975538,+,5320,protein_coding,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]",-,0.575224188,6.404738764,15.88289628,0.001485514,0.016349523
